Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents
三 晃 股份 有限 公司,14,14,590,29,0.00,https://csrone.com/companies/532,0,0,0.00,0,94,"[100,45,30,30,20,37,30,37,55,37,45,45]",2022-11-21,"Knowledge panel, Local pack, Site links, Reviews, Image, FAQ",navigational
國 喬 石化,14,14,720,26,0.00,https://csrone.com/reports/1344,1,0.02,0.00,0,3620000,"[72,72,72,72,59,88,88,88,72,88,100,88]",2022-11-19,"Knowledge panel, Local pack, Image pack, Site links, Reviews, FAQ",navigational
億 光 工廠,14,14,90,21,0.00,https://csrone.com/companies/234,0,0,0.00,0.02,21700000,"[100,20,20,20,60,20,40,40,20,20,40,20]",2022-11-10,"Local pack, Image pack, Reviews, Video, Image, FAQ",commercial
環 隆 電氣 股份 有限 公司,14,14,480,21,0.00,https://csrone.com/companies/58,3,0.06,0.00,0,4020000,"[26,17,26,21,32,72,48,48,48,72,100,88]",2022-11-27,"Knowledge panel, Image pack, Site links, Reviews, Image",informational
日 友 環保 科技,14,14,90,29,0.00,https://csrone.com/companies/550,0,0,0.00,0,10200000,"[64,50,36,36,36,79,79,100,79,100,79,79]",2022-11-25,"Knowledge panel, Local pack, Image pack, Site links, Reviews, Image, FAQ",navigational
大成 國際 鋼鐵 股份 有限 公司,14,14,90,22,0.00,https://csrone.com/companies/962,0,0,0.00,0,678000,"[82,64,100,100,82,82,64,100,82,82,100,82]",2022-11-10,"Knowledge panel, Image pack, Site links, Reviews, Image, FAQ",informational
鴻海 年報,14,14,210,28,0.00,https://csrone.com/reports/460,1,0.02,0.00,0,92,"[44,81,66,66,81,53,81,81,100,66,66,53]",2022-11-04,"Image pack, Reviews, Video",informational
勝 品 電通 股份 有限 公司,14,14,170,22,0.00,https://csrone.com/companies/982,1,0.02,0.00,0,87,"[81,52,81,52,67,67,100,52,81,81,81,81]",2022-11-05,"Local pack, Image pack, Site links, Reviews, Image",commercial
social aed,14,15,170,28,0.00,https://csrone.com/events/701,1,0.02,0.00,0.01,47000000,"[100,100,81,65,42,100,54,81,65,54,65,54]",2022-11-27,"Site links, Reviews, Video",informational
越 峰 電子,14,14,880,29,0.01,https://csrone.com/companies/546,6,0.12,0.00,0.01,12800000,"[100,84,68,38,25,46,31,25,31,31,25,21]",2022-11-21,"Knowledge panel, Image pack, Site links, Reviews, FAQ","informational, navigational"
洋流 與 氣候,14,14,90,18,0.00,https://csrone.com/news/5209,0,0,0.00,0,1030000,"[20,20,20,100,20,20,60,20,20,40,60,40]",2022-11-11,"Image pack, Video",informational
紫 爆,14,14,720,26,0.00,https://csrone.com/news/2104,5,0.1,0.00,0.03,86800000,"[82,55,67,82,100,100,82,67,55,67,55,67]",2022-11-18,"Top stories, Image pack, Reviews, Video",informational
綠色 大學,14,14,110,22,0.00,https://csrone.com/news/7327,0,0,0.00,0,222000000,"[41,41,100,53,41,100,65,100,65,53,53,65]",2022-11-23,Image,informational
台灣 數位 光 訊 科技 股份 有限 公司,14,14,140,25,0.05,https://csrone.com/companies/712,0,0,0.00,0.02,3810000,"[53,65,65,65,82,65,82,82,100,82,100,100]",2022-11-03,"Knowledge panel, Local pack, Image pack, Site links, Reviews, Video, Image, FAQ",commercial
利害 關係 人,14,14,2400,23,0.00,https://csrone.com/topics/6990,16,0.34,0.00,0,9080000,"[100,100,83,66,45,100,100,83,83,66,55,83]",2022-11-16,"Knowledge panel, Image pack","informational, transactional"
碳 權,14,14,4400,29,0.45,https://csrone.com/news/7432,30,0.64,13.00,0.11,89,"[67,82,100,67,44,67,67,67,82,55,55,55]",2022-11-18,"Image pack, Video Carousel",informational
綠 建築 法規,14,14,210,28,0.00,https://csrone.com/news/6646,0,0,0.00,0.02,12800000,"[65,81,100,81,81,81,81,81,65,65,65,54]",2022-11-01,Video,informational
地球 一 小時,14,14,210,27,0.00,https://csrone.com/news/2555,1,0.02,0.00,0,41800000,"[3,3,3,4,6,13,100,9,4,3,3,4]",2022-11-01,"Knowledge panel, Reviews, Video, Video Carousel, FAQ","informational, transactional"
太陽能 追 日,14,14,90,22,0.00,https://csrone.com/news/4346,0,0,0.00,0.05,5580000,"[14,14,14,100,14,14,43,43,14,14,14,14]",2022-11-11,"Image pack, Reviews, Featured snippet, Video Carousel",informational
新 日光 能源 科技 股份 有限 公司,14,14,170,25,0.22,https://csrone.com/companies/501,1,0.02,0.00,0.07,542000,"[100,65,65,54,54,65,65,65,42,65,54,35]",2022-11-22,"Knowledge panel, Reviews",informational
東生 華 製藥 股份 有限 公司,14,14,90,22,0.00,https://csrone.com/companies/421,0,0,0.00,0.01,85,"[20,20,80,20,20,20,20,20,100,20,20,20]",2022-11-11,"Knowledge panel, Image pack, Site links, Reviews, Image, FAQ",navigational
成 真 咖啡 老闆,14,14,140,29,0.00,https://csrone.com/news/5472,0,0,0.00,0.01,24800000,"[43,81,100,100,52,67,100,52,43,43,52,67]",2022-11-06,"Reviews, Video, Featured snippet, Image, FAQ",commercial
統 新光 訊 股份 有限 公司,14,14,210,29,0.00,https://csrone.com/companies/1337,0,0,0.00,0,859000,"[15,19,15,23,29,35,54,44,44,54,67,100]",2022-11-04,"Knowledge panel, Image pack, Site links, Reviews, Video",navigational
sroi,13,13,1000,27,0.00,https://csrone.com/events/788,9,0.19,0.00,0,1230000,"[77,100,100,77,55,77,68,68,68,77,77,77]",2022-11-19,"Image pack, Video Carousel",informational
春雨 工廠 股份 有限 公司,13,13,880,22,0.02,https://csrone.com/companies/696,7,0.15,0.00,0.01,636000,"[30,30,30,37,37,63,63,81,63,63,100,63]",2022-11-25,"Knowledge panel, Image pack, Site links, Reviews, Image",informational
荷蘭 商 台灣 戴爾 股份 有限 公司,13,11,880,16,0.00,https://csrone.com/companies/212,7,0.15,0.00,0,93,"[4,6,11,25,21,53,46,46,68,84,100,100]",2022-11-27,"Knowledge panel, Image pack, Reviews, Image","informational, navigational"
美 磊 科技 股份 有限 公司,13,13,480,20,0.00,https://csrone.com/companies/702,4,0.08,0.00,0,8040000,"[10,16,16,24,36,44,82,67,82,82,82,100]",2022-11-01,"Knowledge panel, Image pack, Reviews, Video, Image, FAQ","informational, navigational"
giin,13,13,170,28,4.70,https://csrone.com/news/6230,0,0,1.00,0.02,2950000,"[81,81,100,67,81,52,81,67,67,81,100,100]",2022-11-03,"Knowledge panel, Image pack, Site links, Video","informational, navigational"
sbti,13,13,1600,28,0.09,https://csrone.com/topics/7182,14,0.3,1.00,0.06,1640000,"[37,54,54,67,54,79,67,79,79,79,100,100]",2022-11-24,"Image pack, Site links",informational
日 勝 化工 股份 有限 公司,13,13,260,22,0.00,https://csrone.com/companies/570,0,0,0.00,0,9040000,"[19,15,15,19,29,36,81,54,66,54,81,100]",2022-11-06,"Knowledge panel, Image pack, Site links, Reviews, Image, FAQ",informational
荷蘭 環保,13,13,90,18,0.00,https://csrone.com/news/5732,0,0,0.00,0,9230000,"[100,14,71,14,14,14,14,14,43,14,29,100]",2022-11-12,"Image pack, Site links, Reviews, Video, Image",informational
欣 興 植物 工廠,13,13,90,15,0.00,https://csrone.com/news/3193,0,0,0.00,0.04,780000,"[25,0,25,100,25,75,25,25,25,25,25,25]",2022-11-11,"Reviews, Image",informational
中 鋼 碳 素 化學 股份 有限 公司,13,13,170,25,0.00,https://csrone.com/companies/308,0,0,0.00,0,7580000,"[81,100,67,52,67,52,81,81,81,81,81,67]",2022-11-03,"Knowledge panel, Local pack, Site links, Reviews, Video, Image",navigational
台 榮 飼料,13,13,110,28,0.00,https://csrone.com/companies/513,0,0,0.00,0.36,458000,"[43,43,43,43,43,67,67,100,52,43,52,52]",2022-11-05,"Local pack, Image pack, Reviews, Video, FAQ",commercial
郭柏如 會計師,13,13,90,16,0.00,https://csrone.com/news/6776,0,0,0.00,0,86,"[50,50,50,100,50,100,50,50,50,50,50,50]",2022-11-12,"Reviews, Video, Image",informational
笙 科 電子,13,13,320,28,0.00,https://csrone.com/index.php/company/281,2,0.04,0.00,0,1340000,"[54,67,67,54,67,100,82,100,100,67,54,82]",2022-11-22,"Local pack, Image pack, Site links, Reviews, FAQ",commercial
台電 社會 責任,13,13,90,22,0.00,https://csrone.com/reports/494,0,0,0.00,0,76,"[0,0,0,0,25,25,25,25,50,50,100,25]",2022-11-10,"Image pack, Reviews, Video",informational
創意 電子 股份 有限 公司,13,13,590,28,0.00,https://csrone.com/companies/236,5,0.1,0.00,0,20500000,"[13,13,11,25,30,30,77,55,55,55,77,100]",2022-11-01,"Knowledge panel, Image pack, Site links, Reviews, Image",informational
碳 交易 市場,13,13,170,29,0.52,https://csrone.com/topics/7524,1,0.02,0.00,0.09,17300000,"[54,100,81,65,19,35,54,81,65,81,42,35]",2022-11-22,"Knowledge panel, Site links, AdWords top, Video Carousel","informational, transactional"
環保 聯盟,13,13,110,23,1.38,https://csrone.com/tags/%E5%8F%B0%E7%81%A3%E7%92%B0%E4%BF%9D%E8%81%AF%E7%9B%9F,0,0,0.00,0.03,20700000,"[42,65,54,100,35,27,54,42,27,35,35,27]",2022-11-06,"Image pack, Site links, Reviews",navigational
保險 業 風險 管理 實務 守則,12,12,390,24,0.00,https://csrone.com/news/7532,5,0.1,0.00,0,78,"[54,81,67,67,67,100,44,67,81,81,100,100]",2022-11-23,"Image pack, Reviews, Featured snippet",informational
簡立忠,12,12,110,22,0.00,https://csrone.com/news/7509,1,0.02,0.00,0,49,"[33,67,52,43,33,67,52,52,100,52,43,52]",2022-11-07,"Image pack, Reviews, Video, Image",informational
國 喬 石油 化學 股份 有限 公司,12,12,720,29,0.00,https://csrone.com/companies/507,1,0.02,0.00,0,9360000,"[13,20,25,30,37,55,55,55,68,77,100,100]",2022-11-20,"Knowledge panel, Local pack, Image pack, Site links, Reviews, Image, FAQ",navigational
嘉 澤 端子,12,12,210,28,0.00,https://csrone.com/companies/402,0,0,0.00,0,86,"[44,54,54,44,36,54,36,54,54,67,82,100]",2022-11-26,"Knowledge panel, Site links, Reviews, Image","informational, transactional"
台 虹 104,12,12,110,26,0.00,https://csrone.com/reports/1891,0,0,0.00,0.01,77,"[82,53,41,53,53,53,100,82,82,65,41,53]",2022-11-01,"Image pack, Site links, Video","navigational, transactional"
尚志 半導體,12,12,210,29,0.00,https://csrone.com/companies/598,0,0,0.00,0,9420000,"[100,81,100,81,65,100,65,54,65,65,65,65]",2022-11-22,"Knowledge panel, Image pack, Site links, Reviews, Video, Image","informational, navigational"
茂 迪 股份 有限 公司,12,12,480,25,0.00,https://csrone.com/companies/173,1,0.02,0.00,0,8140000,"[36,44,44,44,44,82,67,82,67,67,100,82]",2022-11-21,"Knowledge panel, Site links, Reviews, Image, FAQ","informational, navigational"
永 純 化學,12,12,320,21,0.00,https://csrone.com/companies/560,4,0.08,0.00,0.01,6900000,"[100,67,67,29,24,29,36,24,24,29,29,29]",2022-11-06,"Local pack, Image pack, Reviews, Image, FAQ",commercial
聯合國 全球 盟約,12,12,110,16,0.00,https://csrone.com/topics/4479,1,0.02,0.00,0,42400,"[41,41,65,65,65,29,65,82,65,100,65,41]",2022-11-06,Image pack,informational
聯邦 銀行 企業,12,12,260,27,0.55,https://csrone.com/reports/4726,0,0,0.00,0.01,15100000,"[100,81,81,81,66,81,81,100,81,81,66,81]",2022-11-27,"Site links, Reviews",navigational
gri 準則,12,12,720,27,0.19,https://csrone.com/topics/7113,9,0.19,1.00,0.06,67900,"[48,59,59,72,59,88,59,72,88,88,88,100]",2022-11-23,FAQ,informational
帛 漢,12,12,210,21,0.00,https://csrone.com/companies/974,2,0.04,0.00,0,87,"[81,100,100,81,100,100,81,81,81,65,81,65]",2022-11-19,"Knowledge panel, Site links, Reviews, Image, FAQ",informational
宏 洲 纖維,12,12,210,27,0.00,https://csrone.com/companies/848,0,0,0.00,0.01,667000,"[65,65,65,54,65,81,81,81,65,65,100,81]",2022-11-26,"Knowledge panel, Image pack, Site links, Reviews, Video, Image, FAQ",navigational
中 鋼 鋁 業 股份 有限 公司,11,11,880,27,0.00,https://csrone.com/companies/167,8,0.17,0.00,0,11200000,"[7,9,17,25,25,53,68,68,68,68,100,84]",2022-11-26,"Knowledge panel, Site links, Reviews, Image, FAQ",navigational
聯合 骨 材,11,11,210,18,0.00,https://csrone.com/companies/1101,9,0.19,0.00,0.01,4880000,"[65,54,65,65,65,65,100,81,81,100,100,100]",2022-11-02,"Knowledge panel, Local pack, Image pack, Site links, Reviews, Video, Image, FAQ",commercial
greenwashing 中文,11,11,140,28,0.00,https://csrone.com/topics/6204,6,0.12,0.00,0,114000,"[100,35,81,42,42,35,54,42,54,81,42,42]",2022-11-02,"Video, Featured snippet",informational
微型 加盟,11,11,70,16,0.19,https://csrone.com/insights/sustainability-model-behavior-1-20-business-model-innovations-for-sustainability/177,3,0.06,0.00,0.57,6010000,"[57,14,29,29,29,14,71,100,57,14,29,14]",2022-11-18,"Image pack, Site links, Reviews, Video, Video Carousel, FAQ","informational, transactional"
長 裕 欣 業 股份 有限 公司,11,11,110,22,0.00,https://csrone.com/companies/96,1,0.02,0.00,0,2010000,"[65,29,53,41,65,100,53,53,65,65,65,65]",2022-11-26,"Knowledge panel, Reviews","informational, navigational"
sroi 中文,11,11,90,24,0.00,https://csrone.com/topics/3352,4,0.08,0.00,0,98,"[79,64,79,79,50,100,64,64,50,36,64,79]",2022-11-15,"Image pack, Reviews, Featured snippet",informational
優 盛 醫學 科技 股份 有限 公司,11,11,260,21,0.00,https://csrone.com/index.php/company/381,12,0.25,0.00,0,3620000,"[36,44,36,44,44,67,82,100,82,67,82,100]",2022-11-26,"Knowledge panel, Image pack, Site links, Reviews, Video","informational, navigational"
sia 台灣,11,11,90,22,0.00,https://csrone.com/awards/25,4,0.08,0.00,0.01,96,"[25,25,25,25,25,25,25,100,50,25,25,75]",2022-11-09,Reviews,informational
胡永芬,11,11,170,22,0.00,https://csrone.com/topics/7330,7,0.15,0.00,0,98,"[100,100,9,9,9,9,27,64,64,9,9,9]",2022-11-07,"Knowledge panel, Image pack, Reviews, Video, Image, Video Carousel","informational, transactional"
昇 陽 建設 企業 股份 有限 公司,11,11,110,22,0.00,https://csrone.com/companies/338,1,0.02,0.00,0,15600000,"[33,24,33,33,43,52,67,52,67,81,81,100]",2022-11-19,"Knowledge panel, Site links, Reviews, Image",navigational
香港 商 旭 磐 電子 股份 有限 公司,11,11,90,15,0.00,https://csrone.com/companies/1064,4,0.08,0.00,0,86,"[11,11,11,56,11,33,100,11,11,11,11,11]",2022-11-12,"Knowledge panel, Image pack, Site links, Reviews, Image","informational, navigational"
碳 權 交易,11,11,1000,27,0.62,https://csrone.com/news/7432,47,1.01,29.00,0.09,8620000,"[100,100,100,63,37,55,100,63,81,37,45,55]",2022-11-25,"Image pack, Video Carousel",informational
漢民 微 測,10,10,720,23,0.00,https://csrone.com/companies/380,21,0.45,0.00,0,64,"[21,25,31,46,46,100,68,53,53,17,14,17]",2022-11-22,"Knowledge panel, Reviews, Video, Image",informational
李宜樺,10,10,390,22,0.00,https://csrone.com/topics/6147,11,0.23,0.00,0,88,"[81,81,81,100,81,100,67,81,67,81,81,81]",2022-11-23,"Image pack, Reviews, Image, Video Carousel","commercial, informational"
好樂迪 2019,10,10,90,25,0.00,https://csrone.com/reports/3833,0,0,0.00,0,78,"[50,0,100,50,100,100,0,0,0,0,0,0]",2022-11-11,"Image pack, Site links, Reviews, Video",informational
綠色 消費,10,10,1000,25,0.44,https://csrone.com/topics/6653,30,0.64,13.00,0.12,135000000,"[63,55,55,55,37,63,100,100,100,45,55,55]",2022-11-18,"Image pack, Site links, Video Carousel",informational
2015 年 巴黎 協議 之 目的 為何,10,10,480,19,0.00,https://csrone.com/news/4123,14,0.3,0.00,0,1260000,"[48,39,39,21,39,88,88,100,72,26,21,14]",2022-11-22,People also ask,informational
興 泰 實業,10,10,140,28,0.00,https://csrone.com/companies/522,0,0,0.00,0,2790000,"[35,42,42,35,19,35,100,65,81,42,65,54]",2022-11-27,"Knowledge panel, Image pack, Site links, Reviews, Image, FAQ","informational, navigational"
台灣 村田 股份 有限 公司,10,10,720,22,0.00,https://csrone.com/companies/316,21,0.45,0.00,0,165000,"[20,20,25,37,37,77,68,68,68,100,100,100]",2022-11-26,"Knowledge panel, Site links, Reviews, Video, Image","informational, navigational"
優 盛 醫學,10,10,390,23,0.00,https://csrone.com/index.php/company/381,11,0.23,0.00,0.06,5270000,"[29,44,36,36,44,54,100,82,54,44,67,67]",2022-11-21,"Knowledge panel, Image pack, Site links, Reviews, Video","informational, navigational"
台 塑 勝 高 科技 股份 有限 公司,10,10,480,28,0.00,https://csrone.com/companies/432,2,0.04,0.00,0,8010000,"[17,11,14,17,26,32,59,59,72,59,72,100]",2022-11-05,"Knowledge panel, Local pack, Image pack, Site links, Reviews, Video, Image, FAQ",navigational
福永 生物 科技 股份 有限 公司,10,10,260,28,0.00,https://csrone.com/companies/282,1,0.02,0.00,0,99,"[15,19,23,23,23,67,67,67,67,81,100,67]",2022-11-27,"Knowledge panel, Image pack, Site links, Reviews, Image, FAQ",informational
電 業 執照,10,10,140,18,0.00,https://csrone.com/news/5746,4,0.08,0.00,0,8870000,"[82,53,82,53,82,65,65,65,82,100,100,100]",2022-11-06,"Image pack, Video",informational
戰爭 帶 來 的 影響,10,10,110,26,0.00,https://csrone.com/topics/7303,3,0.06,0.00,0,53100000,"[8,13,8,13,44,100,54,44,28,8,13,13]",2022-11-17,"Image pack, Video, Featured snippet",informational
瀚 宇 彩 晶 股份 有限 公司,10,10,880,26,0.00,https://csrone.com/index.php/company/155,5,0.1,0.00,0,85,"[24,24,30,30,37,63,55,63,63,81,100,81]",2022-11-23,"Knowledge panel, Site links, Reviews, Image",informational
中 鋼 鋁 業,10,10,1000,28,0.00,https://csrone.com/companies/167,6,0.12,0.00,0,9090000,"[68,68,77,77,55,100,100,68,68,77,77,68]",2022-11-19,"Knowledge panel, Image pack, Site links, Reviews, Image, FAQ",navigational
綠色 工廠,10,10,1600,28,0.00,https://csrone.com/awards/41,48,1.03,0.00,0.04,70400000,"[79,79,67,67,67,100,79,67,54,54,54,54]",2022-11-17,"Local pack, Image pack, Site links, Reviews, Image, Video Carousel",commercial
大 恭 化學,10,10,320,27,0.00,https://csrone.com/companies/437,1,0.02,0.00,0,1640000,"[81,67,100,81,67,81,67,67,67,54,81,67]",2022-11-22,"Local pack, Image pack, Site links, Reviews, Image, FAQ",navigational
台灣 聚合 化學 品 股份 有限 公司,10,10,260,28,0.00,https://csrone.com/index.php/company/354,1,0.02,0.00,0,1770000,"[100,100,100,81,66,100,66,100,81,81,81,81]",2022-11-22,"Knowledge panel, Local pack, Image pack, Site links, Reviews, Image",navigational
社會 影響,10,10,90,26,0.00,https://csrone.com/topics/1637,2,0.04,0.00,0,623000000,"[52,52,100,67,14,33,43,52,52,24,19,19]",2022-11-12,"Knowledge panel, Site links, Reviews, Video",informational
元 禎 企業,9,9,140,26,0.02,https://csrone.com/reports/4389,0,0,0.00,0.01,91,"[81,100,67,67,43,52,100,52,52,43,43,81]",2022-11-05,"Knowledge panel, Local pack, Image pack, Site links, Video, FAQ",commercial
新北 勞動 雲,9,9,3600,28,0.29,https://csrone.com/news/2532,21,0.45,6.00,0,56,"[100,82,66,82,82,100,100,82,66,82,82,82]",2022-11-16,"Image pack, Site links, Video",navigational
carbon credit 碳,9,9,70,28,0.00,https://csrone.com/topics/6941,2,0.04,0.00,0,853000,"[33,33,33,33,33,33,33,100,33,33,33,33]",2022-11-13,"Knowledge panel, Image pack, Site links, Video Carousel","informational, transactional"
future fit,9,9,90,23,0.00,https://csrone.com/topics/6286,2,0.04,0.00,0,2670000000,"[100,14,14,29,14,14,14,14,14,14,14,43]",2022-11-08,"Image pack, Site links, Reviews, Video, FAQ",informational
裕 融 企業 股份 有限 公司 子 公司,9,9,170,29,1.26,https://csrone.com/companies/604,1,0.02,1.00,0.22,0,"[28,36,28,44,44,67,36,36,44,44,100,36]",2022-11-27,"Knowledge panel, Carousel, Site links, Reviews","informational, navigational"
台灣 社會 企業 名單,9,9,320,28,0.55,https://csrone.com/news/7358,9,0.19,5.00,0.02,18900000,"[100,67,67,54,44,36,24,44,24,13,13,36]",2022-11-21,"Reviews, Featured snippet, People also ask",informational
唐榮鐵 工廠 股份 有限 公司,9,9,480,29,0.00,https://csrone.com/companies/306,2,0.04,0.00,0,100,"[13,16,24,36,36,44,67,82,82,82,100,100]",2022-11-03,"Knowledge panel, Local pack, Image pack, Site links, Reviews, Video, Image","informational, navigational"
國泰 化工,9,9,260,23,0.05,https://csrone.com/companies/478,7,0.15,0.00,0.01,1510000,"[67,67,54,54,54,100,54,82,67,54,82,100]",2022-11-26,"Knowledge panel, Local pack, Image pack, Site links, Reviews, Image",commercial
中 鴻 公司,9,9,90,28,0.00,https://csrone.com/companies/226,0,0,0.00,0,29400000,"[67,33,33,33,100,33,33,67,33,33,33,33]",2022-11-10,"Knowledge panel, Local pack, Image pack, Site links, Reviews, Video, Image, FAQ",navigational
